y_win,p_ioc,p_hand,o_ioc,o_hand,p_ht,p_age,p_rank,o_ht,o_age,o_rank,p_set_1,o_set_1,p_ace,p_df,p_svpt,p_1stWon,p_2ndWon,p_bpFaced,o_ace,o_df,o_svpt,o_1stWon,o_2ndWon,o_bpFaced
W,GRE,R,EST,R,173,21,94,175,21,121,6,0,1,0,25,15,3,0,1,3,27,10,4,3
W,CRO,R,CHN,R,180,35,79,173,25,71,4,6,1,3,39,16,8,5,2,1,30,14,4,4
W,POL,R,BUL,R,170,28,3,180,29,64,6,1,1,0,22,8,5,2,1,2,23,7,2,4
W,SVK,R,CZE,R,161,28,6,180,24,90,7,5,1,2,37,14,9,5,1,5,39,16,5,6
W,TPE,R,ITA,R,169,31,91,180,30,144,6,3,0,1,13,6,1,1,1,2,17,5,3,4
W,ITA,R,JPN,R,164,30,53,163,23,93,7,5,0,1,32,18,1,4,1,0,37,13,5,7
W,RUS,L,RUS,U,178,29,34,173,22,108,6,0,3,1,23,12,5,1,3,3,24,8,5,4
W,DEN,R,RUS,R,177,27,20,168,27,178,6,1,3,1,24,15,3,3,0,1,26,10,2,4
W,CRO,R,AUS,R,178,21,99,168,19,192,7,5,1,3,33,12,7,3,1,2,38,12,6,8
W,JPN,R,THA,R,180,19,48,168,23,183,6,7,3,1,34,13,10,2,2,2,38,15,9,3
W,GBR,R,BEL,R,180,26,9,165,31,70,7,5,1,1,33,16,7,2,1,1,31,10,7,5
W,CZE,R,RUS,R,164,31,16,175,21,145,6,3,3,0,27,15,4,1,0,2,29,8,7,4
W,GER,R,USA,L,180,29,56,173,17,197,6,3,1,1,31,15,8,2,0,1,25,6,8,3
W,FRA,R,TUR,R,183,20,72,173,27,86,7,5,1,3,31,14,6,2,3,2,39,16,5,5
W,FRA,R,UKR,R,178,23,24,175,30,66,7,6,2,4,40,14,9,5,2,4,34,13,5,4
W,USA,R,HUN,R,168,24,92,179,24,28,7,6,3,1,38,13,12,3,1,3,45,18,7,7
W,USA,R,CHN,L,163,27,104,173,27,111,6,1,2,1,36,15,6,7,0,5,32,8,6,7
W,CZE,L,BEL,R,177,30,61,182,27,60,3,6,5,2,34,16,6,4,2,4,32,14,5,2
W,USA,R,SUI,R,175,35,2,175,20,59,6,4,4,2,28,13,6,2,2,1,31,9,8,4
W,GER,L,GER,R,173,29,1,175,22,89,6,2,1,2,35,14,7,3,1,3,31,14,3,3
W,CZE,L,ROU,R,183,25,58,181,26,29,6,4,2,4,39,17,9,3,3,0,34,16,9,2
W,CAN,R,CHN,R,178,23,47,173,31,83,7,6,3,2,31,14,7,2,1,3,34,12,6,4
W,USA,R,FRA,R,185,25,35,175,31,67,6,4,3,4,44,21,7,6,2,3,40,15,8,4
W,ROU,R,ESP,R,176,27,78,162,28,12,7,6,0,3,31,12,6,3,0,1,39,14,3,8
W,USA,R,CHN,R,175,27,42,178,28,23,7,6,0,1,36,16,5,3,0,1,36,12,7,4
W,LAT,U,SVK,R,170,27,33,163,27,80,6,3,1,2,32,12,8,4,1,1,32,13,5,5
W,ESP,R,USA,R,182,23,7,188,22,162,7,5,1,1,36,13,10,3,4,1,38,16,7,4
W,AUS,R,USA,R,165,21,223,175,24,52,7,5,4,0,29,14,8,2,3,1,28,12,4,4
W,GER,R,PUR,R,185,27,181,170,23,46,6,4,3,2,32,11,5,7,1,1,31,9,5,6
W,CHN,R,USA,L,185,28,87,180,31,88,6,1,1,0,35,17,6,5,1,2,37,14,5,4
W,USA,R,SUI,R,185,37,17,170,27,112,6,3,2,1,26,10,7,2,3,3,37,10,8,6
W,UKR,R,USA,R,174,22,13,180,25,119,6,4,3,1,28,9,7,4,1,2,34,12,4,6
W,RUS,R,RUS,U,177,26,27,185,20,129,6,2,3,2,30,13,6,3,0,1,31,10,5,7
W,SRB,R,GER,R,177,32,54,180,28,57,6,3,0,3,36,14,8,4,2,2,29,11,4,3
W,RUS,R,AUS,U,174,32,10,168,17,414,6,2,1,3,27,12,5,3,0,3,36,11,5,8
W,CZE,R,RUS,R,184,25,5,178,18,189,6,0,5,1,23,12,4,1,1,2,24,5,6,6
W,LAT,R,KAZ,R,178,20,38,163,22,31,6,3,1,3,23,8,5,3,2,2,30,9,3,5
W,AUS,R,CRO,R,165,23,26,175,19,36,6,2,0,1,31,10,6,5,2,2,26,10,5,3
W,SUI,R,MNE,R,170,28,15,170,22,68,6,1,1,1,38,16,7,3,1,3,32,9,8,6
W,RUS,R,LUX,R,176,30,18,180,31,105,6,3,2,1,26,12,7,2,1,2,38,16,4,7
W,USA,R,GBR,R,178,22,116,170,25,81,2,6,4,2,44,15,12,7,1,2,42,16,9,4
W,GRE,R,FRA,R,173,21,94,173,27,43,7,5,1,0,36,15,5,4,0,3,32,11,6,5
W,CRO,R,POL,R,180,35,79,170,28,3,6,3,1,1,23,11,3,2,1,2,28,9,4,6
W,SVK,R,TPE,R,161,28,6,169,31,91,6,4,1,2,41,17,8,2,1,0,36,13,7,3
W,RUS,L,ITA,R,178,29,34,164,30,53,6,2,1,1,17,7,2,2,0,0,16,6,0,2
W,DEN,R,CRO,R,177,27,20,178,21,99,6,1,0,3,27,12,5,3,1,2,28,7,5,5
W,GBR,R,JPN,R,180,26,9,180,19,48,6,4,5,1,27,17,4,1,3,1,27,11,4,4
W,CZE,R,GER,R,164,31,16,180,29,56,6,0,1,2,38,17,5,7,0,1,26,6,5,4
W,FRA,R,FRA,R,178,23,24,183,20,72,6,7,2,1,34,15,8,1,3,3,33,15,6,3
W,USA,R,USA,R,168,24,92,163,27,104,6,4,2,1,25,11,4,3,1,3,40,9,9,9
W,USA,R,CZE,L,175,35,2,177,30,61,6,3,8,3,38,20,6,3,4,2,29,12,6,3
W,GER,L,CZE,L,173,29,1,183,25,58,6,0,1,2,26,11,6,2,3,2,23,8,3,3
W,USA,R,CAN,R,185,25,35,178,23,47,6,4,4,2,29,15,6,2,1,1,39,15,9,2
W,ROU,R,USA,R,176,27,78,175,27,42,6,2,3,1,30,12,9,2,1,2,33,11,6,3
W,ESP,R,LAT,U,182,23,7,170,27,33,6,4,3,1,24,12,5,2,2,0,27,9,5,3
W,GER,R,AUS,R,185,27,181,165,21,223,6,4,0,0,0,0,0,0,0,0,0,0,0,0
W,USA,R,CHN,R,185,37,17,185,28,87,6,1,2,1,23,9,7,1,1,2,26,7,4,6
W,RUS,R,UKR,R,177,26,27,174,22,13,7,5,2,3,43,18,6,6,2,1,29,12,4,3
W,RUS,R,SRB,R,174,32,10,177,32,54,6,4,1,2,43,17,7,5,0,2,50,18,8,8
W,CZE,R,LAT,R,184,25,5,178,20,38,4,6,6,1,29,18,3,2,1,2,36,13,6,5
W,AUS,R,SUI,R,165,23,26,170,28,15,6,3,1,1,29,11,5,3,1,1,35,12,5,5
W,USA,R,RUS,R,178,22,116,176,30,18,7,6,5,1,32,11,11,3,2,3,33,11,7,5
W,CRO,R,GRE,R,180,35,79,173,21,94,3,6,1,2,27,12,5,2,0,0,29,12,3,4
W,RUS,L,SVK,R,178,29,34,161,28,6,6,2,2,1,38,16,7,5,0,1,32,12,5,5
W,GBR,R,DEN,R,180,26,9,177,27,20,6,3,3,2,25,11,7,0,0,1,26,10,4,4
W,CZE,R,FRA,R,164,31,16,178,23,24,6,2,2,2,30,14,7,2,1,2,30,12,4,3
W,USA,R,USA,R,175,35,2,168,24,92,6,1,2,2,23,10,7,1,1,3,27,7,6,4
